"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2008","Number","2848"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2009","Number","1691"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2010","Number","2248"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2011","Number","2798"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2012","Number","3958"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2013","Number","5252"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2014","Number","7589"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2015","Number","10565"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2016","Number","13777"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2017","Number","18"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2016","2018","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2002","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2003","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2004","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2005","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2006","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2007","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2008","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2009","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2010","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2011","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2012","Number","3518"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2013","Number","4467"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2014","Number","6286"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2015","Number","8003"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2016","Number","13229"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2017","Number","15600"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2017","2018","Number","50"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2002","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2003","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2004","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2005","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2006","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2007","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2008","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2009","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2010","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2011","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2012","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2013","Number","3914"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2014","Number","5329"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2015","Number","6591"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2016","Number","10089"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2017","Number","14685"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2018","2018","Number","16718"
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2002","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2003","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2004","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2005","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2006","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2007","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2008","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2009","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2010","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2011","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2012","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2013","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2014","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2015","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2016","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2017","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2019","2018","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2002","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2003","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2004","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2005","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2006","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2007","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2008","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2009","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2010","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2011","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2012","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2013","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2014","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2015","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2016","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2017","Number",""
"Employment Activity of Foreign Nationals","EU15 excluding Irish and UK","Persons with employment activity in 2020","2018","Number",""
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2002","Number","16903"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2003","Number","15176"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2004","Number","15402"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2005","Number","16088"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2006","Number","17398"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2007","Number","17561"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2008","Number","15447"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2009","Number","10893"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2010","Number","11249"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2011","Number","10935"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2012","Number","10742"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2013","Number","11187"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2014","Number","11974"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2015","Number","13946"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2016","Number","13767"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2017","Number","13228"
"Employment Activity of Foreign Nationals","UK","All PPSN allocations to foreign nationals aged 15 years and over","2018","Number","12934"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2002","Number","10951"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2003","Number","9212"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2004","Number","8574"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2005","Number","7857"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2006","Number","8563"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2007","Number","8838"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2008","Number","8778"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2009","Number","6970"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2010","Number","7620"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2011","Number","7333"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2012","Number","7021"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2013","Number","7364"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2014","Number","7878"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2015","Number","9068"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2016","Number","8912"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2017","Number","8647"
"Employment Activity of Foreign Nationals","UK","Persons with no employment activity to date","2018","Number","8768"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2002","Number","7934"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2003","Number","431"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2004","Number","55"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2005","Number","26"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2006","Number","15"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2007","Number","7"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2008","Number","13"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2009","Number","6"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2002","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2002","Number","7495"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2003","Number","7113"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2004","Number","288"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2005","Number","44"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2006","Number","14"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2007","Number","7"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2008","Number","11"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2009","Number","7"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2003","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2002","Number","5893"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2003","Number","6525"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2004","Number","6495"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2005","Number","234"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2006","Number","17"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2007","Number","7"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2008","Number","11"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2009","Number","6"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2004","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2002","Number","4688"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2003","Number","4679"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2004","Number","5523"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2005","Number","5857"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2006","Number","49"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2007","Number","16"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2008","Number","17"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2009","Number","8"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2005","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2002","Number","4359"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2003","Number","4322"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2004","Number","4538"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2005","Number","5963"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2006","Number","6363"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2007","Number","70"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2008","Number","18"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2009","Number","8"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2006","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2002","Number","4252"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2003","Number","4095"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2004","Number","4158"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2005","Number","4952"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2006","Number","6622"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2007","Number","6513"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2008","Number","57"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2009","Number","9"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2007","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2002","Number","4021"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2003","Number","3791"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2004","Number","3831"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2005","Number","4404"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2006","Number","5131"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2007","Number","6462"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2008","Number","4924"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2009","Number","52"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2010","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2008","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2002","Number","3562"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2003","Number","3371"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2004","Number","3283"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2005","Number","3767"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2006","Number","4168"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2007","Number","4754"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2008","Number","4572"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2009","Number","2602"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2010","Number","18"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2011","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2009","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2002","Number","3272"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2003","Number","3072"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2004","Number","2967"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2005","Number","3389"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2006","Number","3582"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2007","Number","3894"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2008","Number","3375"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2009","Number","2570"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2010","Number","2507"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2011","Number","17"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2012","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2010","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2002","Number","3146"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2003","Number","2953"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2004","Number","2789"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2005","Number","3186"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2006","Number","3245"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2007","Number","3522"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2008","Number","2893"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2009","Number","2025"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2010","Number","2605"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2011","Number","2610"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2012","Number","10"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2013","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2011","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2002","Number","3039"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2003","Number","2882"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2004","Number","2715"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2005","Number","3095"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2006","Number","3079"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2007","Number","3218"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2008","Number","2550"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2009","Number","1728"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2010","Number","1984"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2011","Number","2595"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2012","Number","2707"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2013","Number","23"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2014","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2012","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2002","Number","3007"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2003","Number","2898"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2004","Number","2692"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2005","Number","3081"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2006","Number","2982"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2007","Number","3050"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2008","Number","2398"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2009","Number","1527"
