"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2006","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2002","Number","23271"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2003","Number","22477"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2004","Number","51569"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2005","Number","85927"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2006","Number","118931"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2007","Number","106757"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2008","Number","248"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2009","Number","11"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2010","Number","3"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2011","Number","6"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2007","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2002","Number","21467"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2003","Number","20501"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2004","Number","45105"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2005","Number","72582"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2006","Number","92450"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2007","Number","96952"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2008","Number","61110"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2009","Number","120"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2010","Number","6"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2011","Number","9"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2008","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2002","Number","18701"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2003","Number","17698"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2004","Number","36953"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2005","Number","57367"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2006","Number","69889"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2007","Number","65286"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2008","Number","48215"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2009","Number","20601"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2010","Number","62"
